SN,Paper Title,Domain,Year,cluster,umap_x,umap_y,cited_by_count,is_oa,oa_status
2,Artificial intelligence and algorithmic bias: implications for health systems,Health & Clinical AI,2019,3,3.6801782,-0.95379496,499,True,gold
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,Health & Clinical AI,2019,3,1.6617057,1.2570118,335,True,hybrid
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,Health & Clinical AI,2020,3,1.4998826,1.0799503,46,True,gold
7,Fairness Constraints: Mechanisms for Fair Classification,General Fairness & Bias Mitigation,2015,7,5.904634,-0.19163015,335,True,green
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,General Fairness & Bias Mitigation,2022,7,5.3990455,0.23773335,23,True,green
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,General Fairness & Bias Mitigation,2023,3,2.8589058,0.53210396,668,True,gold
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,Graph-Based Fairness & Bias Mitigation,2023,1,3.9307988,0.5992774,24,True,hybrid
12,Bias in data-driven artificial intelligence systems—An introductory survey,General Fairness & Bias Mitigation,2019,1,3.8257449,0.17265855,21,True,green
13,Are AI systems biased against the poor? A machine learning analysis using Word2Vec and GloVe embeddings,LLMs & NLP,2022,2,5.3279815,2.5902612,52,True,hybrid
14,Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review,Health & Clinical AI,2022,3,1.4178427,0.79803574,0,False,closed
15,Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach,General Fairness & Bias Mitigation,2022,1,2.9661496,0.37365434,23,True,gold
16,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,Health & Clinical AI,2022,3,0.58006996,1.3836321,180,True,gold
17,Towards Debiasing Sentence Representations,LLMs & NLP,2020,2,5.643445,2.8034048,7,True,green
18,Algorithmic Bias in Autonomous Systems,General Fairness & Bias Mitigation,2017,1,3.735399,-0.8429964,440,True,gold
19,Meritocratic Fairness for Infinite and Contextual Bandits,General Fairness & Bias Mitigation,2018,7,5.859864,-0.984133,21,False,closed
20,Trustworthy AI: A Computational Perspective,General Fairness & Bias Mitigation,2022,1,3.532601,-0.6256464,2,True,green
22,A Comprehensive Empirical Study of Bias Mitigation Methods for Machine Learning Classifiers,General Fairness & Bias Mitigation,2023,7,5.118626,0.46995902,13,True,green
23,Ignorance and Prejudice in Software Fairness,General Fairness & Bias Mitigation,2021,7,5.482748,0.056245126,69,True,green
24,Removing Biased Data to Improve Fairness and Accuracy,General Fairness & Bias Mitigation,2021,7,5.036593,0.7505317,10,True,green
25,FAIR MIXUP: Fairness via Interpolation,General Fairness & Bias Mitigation,2021,7,5.8176103,0.48983565,11,True,green
27,Black Box Fairness Testing of Machine Learning Models,General Fairness & Bias Mitigation,2019,7,5.0822477,0.85385656,180,False,closed
28,MAAT: A Novel Ensemble Approach to Addressing Fairness and Performance Bugs for Machine Learning Software,General Fairness & Bias Mitigation,2023,7,5.1344233,0.3038614,59,True,green
29,Fairea: A Model Behaviour Mutation Approach to Benchmarking Bias Mitigation Methods,General Fairness & Bias Mitigation,2021,7,5.1258574,0.5179673,68,True,green
32,A Review on Fairness in Machine Learning,General Fairness & Bias Mitigation,2022,7,4.976279,-0.8272445,527,False,closed
34,Reconciling Modern Machine Learning Practice and the Bias-Variance Trade-Off,General Fairness & Bias Mitigation,2019,6,4.8964605,0.8068249,83,True,green
37,Fairness-Aware Explainable Recommendation over Knowledge Graphs,Recommender Systems,2020,5,8.02249,1.5912616,189,False,closed
39,Men Also Like Shopping: Reducing Gender Bias Amplification Using Corpus-Level Constraints,LLMs & NLP,2017,6,4.1932306,2.215724,124,True,green
40,Certifying and Removing Disparate Impact,General Fairness & Bias Mitigation,2015,7,3.8491805,-1.0630819,1767,False,closed
41,Integrating Behavioral Economic and Technical Insights to Address Algorithmic Bias,General Fairness & Bias Mitigation,2022,7,5.068157,-0.56813186,23,False,closed
42,Fairness in Recommendation: Foundations Methods and Applications,Recommender Systems,2023,5,8.386775,1.7112795,83,False,closed
43,A Survey on Trustworthy Recommender Systems,Recommender Systems,2024,5,8.425423,2.299059,63,True,hybrid
44,A Comprehensive Survey on Trustworthy Recommender Systems,Recommender Systems,2022,5,8.508143,2.25887,15,True,green
45,Towards Personalized Fairness Based on Causal Notion,Recommender Systems,2021,5,8.296867,1.73654,133,True,gold
47,Knowledge Graphs and Explainable AI in Healthcare,Health & Clinical AI,2022,3,1.9649982,1.0240576,44,True,gold
48,Constructing Knowledge Graphs and Their Biomedical Applications,Health & Clinical AI,2020,6,1.9785408,1.1526263,267,True,gold
49,Algorithmic Fairness Datasets: The Story So Far,General Fairness & Bias Mitigation,2022,7,5.6897755,0.4441623,1,True,hybrid
50,Review of Mathematical Frameworks for Fairness in Machine Learning,General Fairness & Bias Mitigation,2020,7,5.7664375,-0.87280923,20,True,green
51,Did You Do Your Homework? Raising Awareness on Software Fairness and Discrimination,General Fairness & Bias Mitigation,2021,7,5.763945,0.18998635,16,True,green
52,Fairness in Machine Learning: A Survey,General Fairness & Bias Mitigation,2023,7,5.661499,0.04014439,433,True,hybrid
53,Privileged and Unprivileged Groups: An Empirical Study on the Impact of the Age Attribute on Fairness,General Fairness & Bias Mitigation,2022,7,5.6315074,0.39285353,5,True,gold
54,Fairway: A Way to Build Fair ML Software,General Fairness & Bias Mitigation,2020,7,5.0698757,0.5845947,119,True,green
56,Fair Preprocessing: Understanding Compositional Fairness of Data Transformers in ML Pipeline,General Fairness & Bias Mitigation,2021,7,5.512385,0.01691554,94,True,gold
57,Bias in Machine Learning Software: Why? How? What to Do?,General Fairness & Bias Mitigation,2021,7,5.6304846,0.351897,166,True,green
60,Representation Bias in Data: A Survey on Identification and Resolution Techniques,General Fairness & Bias Mitigation,2023,7,4.4831057,0.81519365,101,False,closed
62,A Survey on Fairness for Machine Learning on Graphs,Graph-Based Fairness & Bias Mitigation,2024,7,7.4872713,0.6704979,3,True,green
63,Slice Tuner: A Selective Data Acquisition Framework for Fair ML Models,General Fairness & Bias Mitigation,2021,7,5.1648965,0.7224419,31,False,closed
64,Optimized Score Transformation for Consistent Fair Classification,General Fairness & Bias Mitigation,2021,7,5.866429,-0.11913903,1,True,green
65,Counterfactual Fairness,General Fairness & Bias Mitigation,2017,7,5.59726,-0.42203265,870,True,green
66,Algorithmic Fairness: Choices Assumptions and Definitions,General Fairness & Bias Mitigation,2021,7,5.688729,-0.82511795,556,True,hybrid
67,On the Applicability of Machine Learning Fairness Notions,General Fairness & Bias Mitigation,2021,0,4.651486,2.1489434,9,True,green
68,Approval of AI/ML-Based Medical Devices in USA & Europe,Health & Clinical AI,2021,3,1.6516812,0.9665581,623,True,gold
69,AI in Medicine: Structural Challenges in Improving Patient Care,Health & Clinical AI,2022,3,1.6919612,1.0703645,69,True,gold
71,Data Drift in Medical ML: Implications and Remedies,Health & Clinical AI,2023,6,1.2839596,0.4960183,189,True,bronze
72,Recommendations on compiling test datasets for evaluating artificial intelligence solutions in pathology,Health & Clinical AI,2022,3,1.41719,0.32583103,66,True,hybrid
73,Shifting ML in Healthcare: From Development to Deployment,Health & Clinical AI,2022,6,1.400235,0.7328102,389,True,hybrid
74,Towards a Fair Marketplace: Fairness & Satisfaction in Recommender Systems,Recommender Systems,2022,5,8.784256,1.8867916,274,False,closed
76,Bias and Fairness in Large Language Models: A Survey,LLMs & NLP,2024,2,5.329614,2.8152974,476,True,diamond
77,Investigating Bias in LLM-Based Bias Detection: Disparities between LLMs and Human Perception,LLMs & NLP,2024,2,4.974705,3.25792,22,True,green
78,Systematic Biases in LLM Simulations of Debates,LLMs & NLP,2024,2,5.0329432,3.2019114,37,True,gold
79,Kelly is a Warm Person Joseph is a Role Model: Gender Biases in LLM-Generated Reference Letters,LLMs & NLP,2023,2,5.786434,3.1944144,17,True,green
80,Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,LLMs & NLP,2024,4,4.5121336,3.5748496,6,True,green
81,Bias and Unfairness in Information Retrieval Systems: New Challenges in the LLM Era,LLMs & NLP,2024,4,4.606334,2.9402316,98,True,gold
82,Probing Explicit and Implicit Gender Bias through LLM Conditional Text Generation,LLMs & NLP,2023,2,5.7532187,3.3118765,8,True,green
83,On the Independence of Association Bias and Empirical Fairness in Language Models,LLMs & NLP,2023,2,5.2377076,2.7978797,0,True,green
