SN,Paper Title,DOI,Domain,Year,umap_x,umap_y,umap_x_minilm,umap_y_minilm,umap_x_mpnet,umap_y_mpnet,umap_x_specter,umap_y_specter,cited_by_count,is_oa,oa_status,oa_url
1,Diagnosing bias in data-driven algorithms for healthcare,doi.org/10.1038/s41591-019-0726-6,Health & Clinical AI,2020,6.0895634,0.98830974,9.690872,8.234785,6.0895634,0.98830974,6.5077386,4.198381,62,False,closed,
2,Artificial intelligence and algorithmic bias: implications for health systems,doi.org/10.7189/jogh.09.020318,Health & Clinical AI,2019,6.148902,1.1069787,7.3794985,7.8259892,6.148902,1.1069787,6.4075456,4.0764484,499,True,gold,https://doi.org/10.7189/jogh.09.020318
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,doi.org/10.1055/s-0039-1677903,Health & Clinical AI,2019,5.0909686,1.2065152,10.322368,7.5827827,5.0909686,1.2065152,6.0136733,5.8712893,335,True,hybrid,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677903.pdf
4,Artificial intelligence bias in medical system designs: a systematic review,doi.org/10.1007/s11042-023-16029-x,Health & Clinical AI,2023,7.0899835,5.355746,5.774083,7.046062,7.0899835,5.355746,2.1619203,2.5454073,57,True,bronze,https://link.springer.com/content/pdf/10.1007/s11042-023-16029-x.pdf
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,doi.org/10.3390/medicina56030141,Health & Clinical AI,2020,5.2258906,1.1182705,10.133829,7.9181776,5.2258906,1.1182705,6.048987,5.888382,46,True,gold,https://www.mdpi.com/1648-9144/56/3/141/pdf?version=1616053024
6,Algorithmic bias in data-driven innovation in the age of AI,doi.org/10.1016/j.ijinfomgt.2021.102387,General Fairness & Bias Mitigation,2021,5.7149153,0.96949446,10.040906,8.599986,5.7149153,0.96949446,6.099454,4.5069237,403,False,closed,
7,Fairness Constraints: Mechanisms for Fair Classification,doi.org/10.48550/arXiv.1507.05259,General Fairness & Bias Mitigation,2015,7.1384845,5.7169747,5.575518,6.5270505,7.1384845,5.7169747,1.9349196,3.1594007,335,True,green,https://arxiv.org/pdf/1507.05259
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,doi.org/10.48550/arXiv.2207.07068,General Fairness & Bias Mitigation,2022,6.530625,6.0114074,6.156027,6.2889013,6.530625,6.0114074,1.5571527,2.7577581,23,True,green,https://arxiv.org/pdf/2207.07068
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,doi.org/10.3390/sci6010003,General Fairness & Bias Mitigation,2023,5.107085,4.70776,8.419177,6.637453,5.107085,4.70776,4.554221,5.4242253,668,True,gold,https://www.mdpi.com/2413-4155/6/1/3/pdf?version=1703577406
10,Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency,doi.org/10.48550/arXiv.2206.02237,General Fairness & Bias Mitigation,2022,7.2318707,5.9532413,5.4461074,7.0545816,7.2318707,5.9532413,2.3291826,2.0090718,0,True,green,https://doi.org/10.48550/arxiv.2206.02237
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,doi.org/10.3233/SW-223041,Graph-Based Fairness & Bias Mitigation,2023,5.577353,4.769058,7.8326063,6.5353637,5.577353,4.769058,2.9390886,5.7460423,24,True,hybrid,https://content.iospress.com:443/download/semantic-web/sw223041?id=semantic-web%2Fsw223041
12,Bias in data-driven artificial intelligence systems—An introductory survey,doi.org/10.48550/arXiv.2001.09762,General Fairness & Bias Mitigation,2019,5.613603,4.698053,7.90112,6.8194313,5.613603,4.698053,2.6370173,5.5722036,21,True,green,https://arxiv.org/pdf/2001.09762
13,Are AI systems biased against the poor? A machine learning analysis using Word2Vec and GloVe embeddings,doi.org/10.1007/s00146-022-01494-z,LLMs & NLP,2022,2.8837466,5.4525723,8.965868,4.1346955,2.8837466,5.4525723,2.18869,8.03603,52,True,hybrid,https://link.springer.com/content/pdf/10.1007/s00146-022-01494-z.pdf
14,Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review,doi.org/10.1371/journal.pdig.0000022,Health & Clinical AI,2022,5.188288,0.65233666,10.618685,8.004947,5.188288,0.65233666,6.315417,5.8673487,485,True,gold,https://doi.org/10.1371/journal.pdig.0000022
